,artist_name,song_title,identifier,danceability,energy,loudness,speechiness,acousticness,instrumentalness,valence,tempo,cluster_k30
2908,Madvillain,Meat Grinder,not_hot,0.493,0.59,-5.814,0.0392,0.339,0.0,0.502,169.908,10
2909,Mikolai Stroinski,"Wake Up, Ciri",not_hot,0.662,0.482,-10.777,0.044,0.504,0.0,0.344,125.087,12
2910,Wisin,Ahí Es Que Es,not_hot,0.502,0.891,-5.9,0.0352,0.000192,0.0,0.64,153.809,10
2911,Shoreline Mafia,Power Rangers,not_hot,0.442,0.00919,-32.452,0.047,0.984,0.936,0.0929,79.314,27
2912,HUNNY,July,not_hot,0.795,0.473,-8.152,0.0428,0.366,0.000449,0.906,97.928,9
2913,Passion,This We Know - Live,not_hot,0.562,0.862,-4.928,0.0439,0.196,0.0,0.692,86.998,20
2914,E-Dubble,Robot's Can't Drink,not_hot,0.657,0.0798,-23.49,0.0422,0.992,0.808,0.545,147.067,17
2915,Lemaitre,Higher,not_hot,0.803,0.604,-4.754,0.341,0.0114,0.0,0.525,172.021,16
2916,Shinedown,Thick As Thieves,not_hot,0.626,0.741,-7.817,0.0298,0.0378,0.00239,0.911,126.513,1
2917,Ronnie Milsap,Lost in the Fifties Tonight (In the Still of the Night),not_hot,0.52,0.383,-11.835,0.0338,0.79,0.821,0.724,89.983,17
2918,Delta Spirit,Yamaha,not_hot,0.652,0.829,-7.275,0.0358,0.0233,0.0834,0.736,120.012,1
2919,Ana Tijoux,Vengo,not_hot,0.32,0.882,-5.274,0.126,0.0561,0.0,0.556,110.556,4
2920,Radiohead,Faust Arp,not_hot,0.385,0.711,-5.736,0.0588,0.0167,0.0,0.331,187.717,15
2921,Emmylou Harris,Boulder To Birmingham - Remastered,not_hot,0.309,0.617,-6.041,0.0302,0.103,1.78e-06,0.142,175.968,23
2922,Rebelution,Good Vibes - Live,not_hot,0.437,0.906,-3.142,0.0675,0.00229,0.0,0.603,142.928,10
2923,Frankie Ballard,A Buncha Girls,not_hot,0.476,0.19,-17.266,0.0432,0.989,0.733,0.249,109.795,17
2924,RKCB,Know Love,not_hot,0.484,0.727,-6.107,0.0358,0.198,0.00204,0.216,120.066,11
2925,The Cat Empire,Fishies,not_hot,0.311,0.76,-6.301,0.0364,0.000962,0.0,0.189,177.592,15
2926,Carter Burwell,To Carol's,not_hot,0.296,0.421,-8.724,0.0313,0.000658,0.931,0.211,88.166,18
2927,Michael Kamen,Parapluie - Instrumental,not_hot,0.476,0.779,-5.531,0.0377,0.00987,0.0,0.0963,128.069,11
2928,Trina,Here We Go (feat. Kelly Rowland),not_hot,0.464,0.422,-11.422,0.0315,0.0604,0.0104,0.402,126.703,23
2929,Roger Alan Wade,"If Your Gonna Be Dumb, You Gotta Be Tough",not_hot,0.605,0.865,-3.931,0.0614,0.113,0.000104,0.714,172.107,10
2930,Excision,Hoods Up,not_hot,0.596,0.763,-5.819,0.0525,0.0363,0.129,0.0658,140.208,11
2931,Django Reinhardt,Nagasaki,not_hot,0.445,0.744,-7.978,0.0424,0.343,6.73e-05,0.48,185.199,10
2932,The Japanese House,somethingfartoogoodtofeel,not_hot,0.526,0.587,-8.733,0.039,0.24,0.243,0.364,93.986,13
2933,Corey Voss,As It Is in Heaven - Live,not_hot,0.425,0.789,-7.821,0.0421,0.196,0.439,0.522,161.952,10
2934,The Magnetic Fields,The Book of Love,not_hot,0.392,0.751,-6.586,0.155,0.105,0.0,0.438,173.825,15
2935,Stereolab,Ticker-tape of the Unconscious,not_hot,0.632,0.514,-7.256,0.0266,0.102,0.0,0.604,100.0,7
2936,Kelly Clarkson,Cruel,not_hot,0.511,0.439,-11.79,0.218,0.841,3.12e-05,0.124,159.815,25
2937,The Strokes,Under Control,not_hot,0.481,0.49,-10.098,0.0271,0.0536,0.123,0.0378,152.04,23
2938,Rachel Portman,Goodnight You Kings of New England - Instrumental,not_hot,0.75,0.916,-2.889,0.274,0.0598,0.0,0.957,80.117,6
2939,The Aces,Waiting for You,not_hot,0.529,0.31,-12.159,0.0388,0.928,0.514,0.73,177.972,25
2940,Donell Jones,Knocks Me Off My Feet,not_hot,0.712,0.557,-8.245,0.196,0.0476,0.0,0.355,77.468,6
2941,Frankie Valli & The Four Seasons,"December, 1963 (Oh What a Night!)",not_hot,0.559,0.613,-7.891,0.0343,0.231,3.47e-06,0.213,109.947,28
2942,HAIM,Ready For You,not_hot,0.808,0.703,-7.772,0.0465,0.0636,0.00515,0.392,90.003,28
2943,Marilyn Manson,Tourniquet,not_hot,0.739,0.82,-6.099,0.0889,0.00823,0.0,0.775,127.984,1
2944,Cate le Bon,Are You With Me Now?,not_hot,0.664,0.646,-8.936,0.0802,0.281,0.000111,0.598,94.97,7
2945,Xavier Omär,Lost in Nostalgia,not_hot,0.659,0.806,-4.255,0.289,0.13,5.8e-06,0.814,187.993,16
2946,Beck,The Golden Age,not_hot,0.553,0.901,-6.202,0.0454,0.0103,0.00312,0.617,106.943,20
2947,Sy Ari Da Kid,Commitment,not_hot,0.165,0.0209,-28.75,0.0443,0.979,0.408,0.0911,131.499,19
2948,Erik Satie,3 Gymnopédies: 1. Lent et douloureux,not_hot,0.436,0.866,-7.63,0.0673,0.00142,0.00192,0.643,95.725,20
2949,Bob Marley & The Wailers,Bend Down Low,not_hot,0.731,0.671,-9.307,0.0504,0.213,0.182,0.055,100.012,28
2950,Wolfgang Amadeus Mozart,"Horn Quintet in E-Flat Major, K. 407: II. Andante",not_hot,0.617,0.874,-4.288,0.051,0.0604,0.0,0.281,113.797,11
