,artist_name,song_title,songs_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
3212,Vic Mensa,OMG,0WjzD1b6BSkRwmjsx3Iedk,0.711,0.836,2,-9.156,0,0.0452,0.152,0.636,0.157,0.321,99.984,audio_features,5xz5dUtU2xooSP75BwRJ3H,spotify:track:5xz5dUtU2xooSP75BwRJ3H,https://api.spotify.com/v1/tracks/5xz5dUtU2xooSP75BwRJ3H,https://api.spotify.com/v1/audio-analysis/5xz5dUtU2xooSP75BwRJ3H,243781,4
3213,John Vincent III,Lost / Inside Our Minds,4kCSKIFIBo9DMtslnz3tMY,0.762,0.83,10,-3.943,0,0.207,0.0237,0.0126,0.117,0.618,91.044,audio_features,3kTmyWQ5z9gUrB9LEY8zMy,spotify:track:3kTmyWQ5z9gUrB9LEY8zMy,https://api.spotify.com/v1/tracks/3kTmyWQ5z9gUrB9LEY8zMy,https://api.spotify.com/v1/audio-analysis/3kTmyWQ5z9gUrB9LEY8zMy,190080,4
3214,Rae Sremmurd,Red Wine - From Swaecation,6exiH6TH874dCP0AelFi1U,0.802,0.571,2,-9.734,0,0.343,0.103,0.0,0.18,0.712,76.999,audio_features,2IlkoEZkqKV6DnRPKXmuow,spotify:track:2IlkoEZkqKV6DnRPKXmuow,https://api.spotify.com/v1/tracks/2IlkoEZkqKV6DnRPKXmuow,https://api.spotify.com/v1/audio-analysis/2IlkoEZkqKV6DnRPKXmuow,130667,4
3215,T. Rex,Cosmic Dancer - Remastered,5N4vVbNotNwWGG8KcCdstR,0.361,0.556,3,-7.945,1,0.0287,0.0129,8.6e-05,0.108,0.0808,171.473,audio_features,05YyiE4iKGzNNwLDlA8v96,spotify:track:05YyiE4iKGzNNwLDlA8v96,https://api.spotify.com/v1/tracks/05YyiE4iKGzNNwLDlA8v96,https://api.spotify.com/v1/audio-analysis/05YyiE4iKGzNNwLDlA8v96,288000,4
3216,alayna,Sweet Soul,5pS3mFKoatVoAVY7lEZ9nd,0.138,0.189,2,-15.733,0,0.0394,0.896,0.279,0.113,0.0729,91.207,audio_features,0x1rnXl24iJl8xZFMkoyNv,spotify:track:0x1rnXl24iJl8xZFMkoyNv,https://api.spotify.com/v1/tracks/0x1rnXl24iJl8xZFMkoyNv,https://api.spotify.com/v1/audio-analysis/0x1rnXl24iJl8xZFMkoyNv,279547,4
3217,Rustie,Slasherr,52SPa846gRMhjujh054UFr,0.503,0.179,10,-13.064,1,0.0323,0.869,2.21e-05,0.11,0.321,77.756,audio_features,3UiTRnMtgKxuL9uZJWj0IO,spotify:track:3UiTRnMtgKxuL9uZJWj0IO,https://api.spotify.com/v1/tracks/3UiTRnMtgKxuL9uZJWj0IO,https://api.spotify.com/v1/audio-analysis/3UiTRnMtgKxuL9uZJWj0IO,213587,1
3218,Tim Hecker,That world,6OnL0UQxLi3CO8eJH4Iabq,0.909,0.558,1,-7.631,1,0.303,0.0823,0.0,0.119,0.53,91.722,audio_features,13tk02cDjNyqjOwLjREax1,spotify:track:13tk02cDjNyqjOwLjREax1,https://api.spotify.com/v1/tracks/13tk02cDjNyqjOwLjREax1,https://api.spotify.com/v1/audio-analysis/13tk02cDjNyqjOwLjREax1,197920,4
3219,Frédéric Chopin,"Berceuse in D Flat Major, Op. 57",26sTzB2Z9WRzQtxfRA5JSY,0.53,0.666,9,-6.967,0,0.0478,0.073,0.0,0.162,0.51,180.034,audio_features,6AwmJLetJJz5PswuJwYOcI,spotify:track:6AwmJLetJJz5PswuJwYOcI,https://api.spotify.com/v1/tracks/6AwmJLetJJz5PswuJwYOcI,https://api.spotify.com/v1/audio-analysis/6AwmJLetJJz5PswuJwYOcI,198991,4
3220,Sara Gazarek,Blackbird - Bye Bye Blackbird,7rFObRieTgKBxD0oWcupDU,0.47,0.523,8,-8.409,0,0.0269,0.11,4.42e-06,0.102,0.198,90.064,audio_features,7xUbUfwaCfaAlYxfkIIZnc,spotify:track:7xUbUfwaCfaAlYxfkIIZnc,https://api.spotify.com/v1/tracks/7xUbUfwaCfaAlYxfkIIZnc,https://api.spotify.com/v1/audio-analysis/7xUbUfwaCfaAlYxfkIIZnc,298027,4
3221,JEN,Mi Corazón Insiste,6Zp3Hu9UsjClmmCUWVs2Xn,0.573,0.86,7,-6.981,1,0.053,0.195,0.00354,0.364,0.934,157.722,audio_features,5XlcdeVwKUz0iZhPQTeh0c,spotify:track:5XlcdeVwKUz0iZhPQTeh0c,https://api.spotify.com/v1/tracks/5XlcdeVwKUz0iZhPQTeh0c,https://api.spotify.com/v1/audio-analysis/5XlcdeVwKUz0iZhPQTeh0c,232253,4
3222,The Roots,"My Shot (feat. Busta Rhymes, Joell Ortiz & Nate Ruess) - Rise Up Remix",7ElYuU4c2EVqtLpCBst0au,0.495,0.917,7,-3.142,1,0.116,0.0725,0.0,0.192,0.515,95.153,audio_features,1NMXkYmP983tmztiArxJEn,spotify:track:1NMXkYmP983tmztiArxJEn,https://api.spotify.com/v1/tracks/1NMXkYmP983tmztiArxJEn,https://api.spotify.com/v1/audio-analysis/1NMXkYmP983tmztiArxJEn,217690,4
3223,My Bloody Valentine,When You Sleep,3HfEgAaf0koxBpBB8NvGda,0.532,0.766,3,-6.616,0,0.0817,0.101,0.00883,0.175,0.402,75.028,audio_features,3cQ2X0PIJOWgOdkfvSmQtg,spotify:track:3cQ2X0PIJOWgOdkfvSmQtg,https://api.spotify.com/v1/tracks/3cQ2X0PIJOWgOdkfvSmQtg,https://api.spotify.com/v1/audio-analysis/3cQ2X0PIJOWgOdkfvSmQtg,274000,4
3224,Lee Brice,You Can't Help Who You Love,5knp3g3RflHT8ArnuknsmU,0.48,0.0871,5,-22.005,1,0.0442,0.973,2.67e-06,0.148,0.205,118.036,audio_features,2l9UM2IVGSulrohfekmKdr,spotify:track:2l9UM2IVGSulrohfekmKdr,https://api.spotify.com/v1/tracks/2l9UM2IVGSulrohfekmKdr,https://api.spotify.com/v1/audio-analysis/2l9UM2IVGSulrohfekmKdr,248600,4
3225,Teyana Taylor,No Manners,4jHr4JxHaYgRIR0bXHJeAH,0.702,0.226,5,-16.758,0,0.263,0.627,0.00438,0.132,0.241,92.841,audio_features,5ZTzr69s2cphU4FNMeO6q8,spotify:track:5ZTzr69s2cphU4FNMeO6q8,https://api.spotify.com/v1/tracks/5ZTzr69s2cphU4FNMeO6q8,https://api.spotify.com/v1/audio-analysis/5ZTzr69s2cphU4FNMeO6q8,250427,4
3226,"Earth, Wind & Fire",Keep Your Head to the Sky,0iPy1MWCrOT7SjGs14zSSv,0.514,0.898,8,-3.819,0,0.0353,0.001,0.0,0.298,0.569,115.989,audio_features,2X8M5BWycQSiofPQlqr312,spotify:track:2X8M5BWycQSiofPQlqr312,https://api.spotify.com/v1/tracks/2X8M5BWycQSiofPQlqr312,https://api.spotify.com/v1/audio-analysis/2X8M5BWycQSiofPQlqr312,221400,4
3227,Erykah Badu,The Healer,7otmKWoMlpWkrMnnIQHXEg,0.645,0.373,8,-15.398,0,0.374,0.293,0.0,0.0948,0.609,171.961,audio_features,70PwmyxBzzMTowRcBOLzGd,spotify:track:70PwmyxBzzMTowRcBOLzGd,https://api.spotify.com/v1/tracks/70PwmyxBzzMTowRcBOLzGd,https://api.spotify.com/v1/audio-analysis/70PwmyxBzzMTowRcBOLzGd,213264,4
3228,Do Or Die,Do U?,3GUZHOhbl6hQEqsHCkUDDd,0.476,0.452,11,-10.263,1,0.0289,0.144,3.96e-06,0.153,0.113,127.908,audio_features,5M3csjImDf6rbOKYqjd9cX,spotify:track:5M3csjImDf6rbOKYqjd9cX,https://api.spotify.com/v1/tracks/5M3csjImDf6rbOKYqjd9cX,https://api.spotify.com/v1/audio-analysis/5M3csjImDf6rbOKYqjd9cX,464080,3
3229,Bishop Briggs,Hallowed Ground,4aMbVZus6L3hhOnDksMp47,0.834,0.551,2,-10.039,1,0.0753,0.00746,0.231,0.106,0.681,120.006,audio_features,0hdE9hvqa9RMehDnTPBo3S,spotify:track:0hdE9hvqa9RMehDnTPBo3S,https://api.spotify.com/v1/tracks/0hdE9hvqa9RMehDnTPBo3S,https://api.spotify.com/v1/audio-analysis/0hdE9hvqa9RMehDnTPBo3S,313413,4
3230,Mychael Danna,Piscine Molitor Patel / Sous le Ciel de Paris,4HZrpVnV7faCvKDT5v4j2q,0.556,0.808,0,-6.965,1,0.0335,0.166,0.000167,0.164,0.844,115.287,audio_features,5Cr8DxrjyP2fS93XjGXlFl,spotify:track:5Cr8DxrjyP2fS93XjGXlFl,https://api.spotify.com/v1/tracks/5Cr8DxrjyP2fS93XjGXlFl,https://api.spotify.com/v1/audio-analysis/5Cr8DxrjyP2fS93XjGXlFl,266827,4
3231,Groove Armada,But I Feel Good,5at039gZfHTvOK3gSLni5m,0.485,0.336,10,-15.036,0,0.0408,0.991,0.923,0.621,0.427,98.513,audio_features,0v4zFxKc1OdbGG0A4DxOPd,spotify:track:0v4zFxKc1OdbGG0A4DxOPd,https://api.spotify.com/v1/tracks/0v4zFxKc1OdbGG0A4DxOPd,https://api.spotify.com/v1/audio-analysis/0v4zFxKc1OdbGG0A4DxOPd,225893,3
3232,Hillsong UNITED,Empires - Live,0wO8sh1l4l0N5wLKHf3s4O,0.465,0.727,8,-5.181,0,0.0353,0.0112,0.802,0.0964,0.465,118.149,audio_features,24GCf1A4pOTEDDcBponpjn,spotify:track:24GCf1A4pOTEDDcBponpjn,https://api.spotify.com/v1/tracks/24GCf1A4pOTEDDcBponpjn,https://api.spotify.com/v1/audio-analysis/24GCf1A4pOTEDDcBponpjn,232867,4
3233,Animals As Leaders,On Impulse,2PTvM4E7vKBfS6BQ5rOhjp,0.368,0.921,8,-4.897,0,0.0919,0.000716,0.0449,0.295,0.451,119.113,audio_features,1DJVvKIX6niMWGUitYkM1f,spotify:track:1DJVvKIX6niMWGUitYkM1f,https://api.spotify.com/v1/tracks/1DJVvKIX6niMWGUitYkM1f,https://api.spotify.com/v1/audio-analysis/1DJVvKIX6niMWGUitYkM1f,219523,3
3234,Lali,Una Na,02N1QgHlAaV8BWY3Mgc6lR,0.681,0.447,0,-8.83,1,0.0477,0.553,4.36e-06,0.122,0.746,99.418,audio_features,15mlPrdH10GLQJafz07Q8X,spotify:track:15mlPrdH10GLQJafz07Q8X,https://api.spotify.com/v1/tracks/15mlPrdH10GLQJafz07Q8X,https://api.spotify.com/v1/audio-analysis/15mlPrdH10GLQJafz07Q8X,265640,4
3235,Gabriel Garzón-Montano,My Balloon,52DsI9mLrDlvse7egGebPD,0.639,0.75,5,-11.794,1,0.0557,0.324,0.0335,0.282,0.851,107.174,audio_features,06xkqQuJzl1ddeK48jG6qa,spotify:track:06xkqQuJzl1ddeK48jG6qa,https://api.spotify.com/v1/tracks/06xkqQuJzl1ddeK48jG6qa,https://api.spotify.com/v1/audio-analysis/06xkqQuJzl1ddeK48jG6qa,276333,4
3236,Jason Aldean,This Plane Don't Go There,3iO8zMY6XOH7koNYcXEILv,0.506,0.49,8,-8.411,1,0.126,0.198,0.448,0.101,0.12,147.879,audio_features,0nXVUxGyjGsyrIQzHRVesF,spotify:track:0nXVUxGyjGsyrIQzHRVesF,https://api.spotify.com/v1/tracks/0nXVUxGyjGsyrIQzHRVesF,https://api.spotify.com/v1/audio-analysis/0nXVUxGyjGsyrIQzHRVesF,194625,4
3237,Bill Evans,My Foolish Heart,6yKkA8HzwWTZ5taIMaG4Nm,0.316,0.482,6,-7.923,1,0.0476,0.605,4.96e-05,0.142,0.287,78.353,audio_features,0pohtuADv9aAqQ7KVDxa56,spotify:track:0pohtuADv9aAqQ7KVDxa56,https://api.spotify.com/v1/tracks/0pohtuADv9aAqQ7KVDxa56,https://api.spotify.com/v1/audio-analysis/0pohtuADv9aAqQ7KVDxa56,435240,3
